entity_id,state_id,state,old_state_id,last_changed,last_updated,shared_attrs
light.wiz_bulb1,122386,on,,,2022-11-06 09:46:09.108812,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 1""}"
light.kitchen_lamp,122387,on,,,2022-11-06 09:46:09.111577,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb_2,122388,on,,,2022-11-06 09:46:09.178759,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 2""}"
light.wiz_bulb_2,122391,on,122388,2022-11-06 09:46:09.178759,2022-11-06 09:46:12.714160,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 2""}"
light.kitchen_lamp,122392,on,122387,2022-11-06 09:46:09.111577,2022-11-06 09:46:12.718751,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Fall"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb1,122393,on,122386,2022-11-06 09:46:09.108812,2022-11-06 09:46:12.790712,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 1""}"
light.kitchen_lamp,122394,on,122392,2022-11-06 09:46:09.111577,2022-11-06 09:46:12.795354,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb1,122625,off,122393,,2022-11-06 11:26:49.144083,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 1""}"
light.wiz_bulb_2,122626,off,122391,,2022-11-06 11:26:49.207414,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 2""}"
light.kitchen_lamp,122627,off,122394,,2022-11-06 11:26:49.209941,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.br_bulb1,122646,unavailable,,,2022-11-06 11:43:59.212735,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,122647,off,122646,,2022-11-06 11:43:59.226013,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.wiz_bulb3,122739,on,,,2022-11-06 12:37:44.462974,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 3""}"
light.living_room_lamp,122740,on,,,2022-11-06 12:37:44.465696,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb5,122741,on,,,2022-11-06 12:37:44.475807,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 5""}"
light.wiz_bulb4,122742,on,,,2022-11-06 12:37:44.480367,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 4""}"
light.wiz_bulb4,122746,on,122742,2022-11-06 12:37:44.480367,2022-11-06 12:37:49.683886,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 4""}"
light.living_room_lamp,122748,on,122740,2022-11-06 12:37:44.465696,2022-11-06 12:37:49.687486,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Fall"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb3,122749,on,122739,2022-11-06 12:37:44.462974,2022-11-06 12:37:49.696054,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 3""}"
light.wiz_bulb5,122751,on,122741,2022-11-06 12:37:44.475807,2022-11-06 12:37:49.706990,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 5""}"
light.living_room_lamp,122753,on,122748,2022-11-06 12:37:44.465696,2022-11-06 12:37:49.702077,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.midesklamp1s_95e0,122755,on,,,2022-11-06 12:38:18.240109,"{""min_color_temp_kelvin"":2500,""max_color_temp_kelvin"":20000,""color_mode"":""color_temp"",""brightness"":35.7,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""friendly_name"":""Desk Lamp""}"
light.midesklamp1s_95e0,122915,off,122755,,2022-11-06 14:18:18.452975,"{""min_color_temp_kelvin"":2500,""max_color_temp_kelvin"":20000,""friendly_name"":""Desk Lamp""}"
light.wiz_bulb_2,122935,on,122626,,2022-11-06 14:45:53.013070,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 2""}"
light.kitchen_lamp,122936,on,122627,,2022-11-06 14:45:53.016182,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb1,122937,on,122625,,2022-11-06 14:45:53.086678,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Warm White"",""friendly_name"":""Wiz Bulb 1""}"
light.wiz_bulb4,122938,off,122746,,2022-11-06 14:45:53.582709,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 4""}"
light.wiz_bulb5,122939,off,122751,,2022-11-06 14:45:53.589266,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 5""}"
light.wiz_bulb3,122940,off,122749,,2022-11-06 14:45:53.595258,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 3""}"
light.living_room_lamp,122941,off,122753,,2022-11-06 14:45:53.598704,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""entity_id"":[""light.wiz_bulb3"",""light.wiz_bulb4"",""light.wiz_bulb5""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Living Room Lamp""}"
light.wiz_bulb1,123402,off,122937,,2022-11-06 17:40:03.987597,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 1""}"
light.wiz_bulb_2,123403,off,122935,,2022-11-06 17:40:04.058058,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""friendly_name"":""Wiz Bulb 2""}"
